2025-07-17,Electronic Funds Transfer PREAUTHORIZED DEBIT PAYPAL,13.00,
2025-07-08,Branch Transaction PLC INTEREST CHARGED,0.68,
2025-07-08,Electronic Funds Transfer PREAUTHORIZED DEBIT PAYPAL,36.80,
2025-07-07,Point of Sale - Interac RETAIL PURCHASE 518500556640 LA CUBANA,42.67,
2025-06-11,Point of Sale - Interac RETAIL PURCHASE 001001001094 SHOPPERS DRUG M,21.36,
2025-06-09,Point of Sale - Interac RETAIL PURCHASE 001001001664 MIKE'S INDEPEND,5.64,
2025-06-05,Branch Transaction PLC INTEREST CHARGED,0.20,
2025-06-02,Point of Sale - Interac RETAIL PURCHASE 001001001620 BO'S NO FRILLS,33.15,
