Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount,Commission,Net Amount
2025-06-06,TFSA,Net Amount in Base from Forex Trade: 995.75 USD.CAD,Forex Trade Component,USD.CAD,995.75,1.3685  CAD,0.93,-,0.93
2025-06-06,TFSA,SOFI TECHNOLOGIES INC,Buy,SOFI,70,14.2250  USD,"-1,363.58",-1.37,"-1,364.95"
2025-06-06,TFSA,Net Amount in Base from Forex Trade: 0.005 USD.CAD,Forex Trade Component,USD.CAD,0.01,1.3698  CAD,0,-,0
2025-06-06,TFSA,Net Amount in Base from Forex Trade: 0.003542 USD.CAD,Forex Trade Component,USD.CAD,0,1.3700  CAD,0,-,0
2025-06-06,RRSP,MSTY(US88634T4931) Cash Dividend USD 1.4707 per Share (Ordinary Dividend),Dividend,MSTY,-,-,852.29,-,852.29
2025-06-04,TFSA,USD Credit Interest for May-2025,Credit Interest,-,-,-,0.41,-,0.41
2025-06-04,TFSA,Net Amount in Base from Forex Trade: -0.3 USD.CAD,Forex Trade Component,USD.CAD,-0.3,1.3675  CAD,0,-,0
2025-05-28,TFSA,AMAZON.COM INC,Buy,AMZN,9,206.6500  USD,"-2,573.47",-1.38,"-2,574.86"
2025-05-28,TFSA,"Net Amount in Base from Forex Trade: 1,415.49 USD.CAD",Forex Trade Component,USD.CAD,"1,415.49",1.3843  CAD,-0.88,-,-0.88
2025-05-28,TFSA,Net Amount in Base from Forex Trade: -0.00402487 USD.CAD,Forex Trade Component,USD.CAD,0,1.3833  CAD,0,-,0
2025-05-21,TFSA,Electronic Fund Transfer (Regular Contribution),Deposit,-,-,-,"2,000.00",-,"2,000.00"
2025-05-20,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,-1.39,-,-1.39
2025-05-20,Margin,Electronic Fund Transfer,Deposit,-,-,-,1.39,-,1.39
2025-05-16,TFSA,Electronic Fund Transfer (Regular Contribution),Deposit,-,-,-,"4,000.00",-,"4,000.00"
2025-05-15,TFSA,AAPL(US0378331005) Cash Dividend USD 0.26 per Share (Ordinary Dividend),Dividend,AAPL,-,-,4.36,-,4.36
2025-05-15,TFSA,AAPL(US0378331005) Cash Dividend USD 0.26 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-0.66,-,-0.66
2025-05-15,Margin,AAPL(US0378331005) Cash Dividend USD 0.26 per Share (Ordinary Dividend),Dividend,AAPL,-,-,26.86,-,26.86
2025-05-15,Margin,AAPL(US0378331005) Cash Dividend USD 0.26 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-8.05,-,-8.05
2025-05-12,TFSA,NVIDIA CORP,Buy,NVDA,40,121.3700  USD,"-6,784.58",-1.4,"-6,785.98"
2025-05-12,TFSA,META PLATFORMS INC-CLASS A,Buy,META,5,623.7000  USD,"-4,358.10",-1.4,"-4,359.50"
2025-05-12,TFSA,AMAZON.COM INC,Buy,AMZN,10,206.6500  USD,"-2,887.93",-1.4,"-2,889.33"
2025-05-12,RRSP,YIELDMAX MSTR OPTION IS ETF,Buy,MSTY,423,23.6200  USD,"-13,962.79",-2.98,"-13,965.76"
2025-05-06,TFSA,NVIDIA CORP,Sell,NVDA,-75,111.6900  USD,"11,540.65",-1.72,"11,538.93"
2025-05-06,RRSP,GIGACLOUD TECHNOLOGY INC - A,Sell,GCT,-223,13.0250  USD,"4,001.63",-1.71,"3,999.92"
2025-05-05,Margin,CAD Debit Interest for Apr-2025,Debit Interest,-,-,-,-0.28,-,-0.28
2025-05-05,TFSA,USD Credit Interest for Apr-2025,Credit Interest,-,-,-,8.9,-,8.9
2025-05-05,RRSP,USD Credit Interest for Apr-2025,Credit Interest,-,-,-,6.9,-,6.9
